store_id,item_id,cluster,cluster_label,average_demand,demand_variability,coefficient_of_variation,forecast_error,absolute_forecast_error,forecast_demand,recommended_stock
store_1,item_1,1,Permintaan Tinggi,40.33,9.86,0.2446,13.95,13.95,26.38,46
store_1,item_10,1,Permintaan Tinggi,34.81,8.05,0.2311,10.59,10.59,24.22,44
store_1,item_11,0,Permintaan Rendah,12.57,4.23,0.3367,-9.34,9.36,21.91,42
store_1,item_12,1,Permintaan Tinggi,34.16,8.39,0.2456,10.28,10.28,23.88,44
store_1,item_13,1,Permintaan Tinggi,41.64,10.37,0.249,17.34,17.34,24.3,44
store_1,item_14,1,Permintaan Tinggi,34.17,8.61,0.2518,7.51,7.57,26.66,47
store_1,item_15,0,Permintaan Rendah,16.76,5.37,0.3201,-4.25,4.4,21.01,41
store_1,item_16,0,Permintaan Rendah,10.42,3.9,0.3744,-12.3,12.3,22.72,43
store_1,item_17,1,Permintaan Tinggi,35.85,9.2,0.2567,13.54,13.54,22.31,42
store_1,item_18,1,Permintaan Tinggi,32.4,7.94,0.2449,7.73,7.81,24.67,45
store_1,item_19,1,Permintaan Tinggi,32.88,7.95,0.2417,11.78,11.78,21.1,41
store_1,item_2,0,Permintaan Rendah,20.6,5.28,0.2561,-0.23,2.66,20.84,41
store_1,item_20,1,Permintaan Tinggi,33.72,8.49,0.2517,7.82,7.86,25.9,46
store_1,item_21,0,Permintaan Rendah,12.37,4.0,0.323,-10.42,10.42,22.79,43
store_1,item_22,0,Permintaan Rendah,22.31,5.47,0.2453,0.24,2.45,22.07,42
store_1,item_23,1,Permintaan Tinggi,39.05,9.37,0.2399,13.21,13.24,25.84,46
store_1,item_24,0,Permintaan Rendah,13.93,4.82,0.3457,-8.36,8.38,22.29,42
store_1,item_25,1,Permintaan Tinggi,37.18,9.65,0.2595,12.22,12.22,24.97,45
store_1,item_26,1,Permintaan Tinggi,30.08,7.77,0.2582,6.54,6.59,23.54,43
store_1,item_27,0,Permintaan Rendah,20.87,5.43,0.2604,-1.7,2.87,22.57,42
store_1,item_28,0,Permintaan Rendah,12.01,4.2,0.3496,-11.04,11.05,23.05,43
store_1,item_29,0,Permintaan Rendah,20.05,5.58,0.2784,-4.02,4.6,24.07,44
store_1,item_3,0,Permintaan Rendah,22.13,5.57,0.2517,1.59,3.14,20.54,40
store_1,item_30,0,Permintaan Rendah,20.45,5.84,0.2856,-7.5,7.51,27.95,48
store_1,item_31,1,Permintaan Tinggi,32.93,8.62,0.2616,6.23,6.33,26.7,47
store_1,item_32,1,Permintaan Tinggi,30.87,8.09,0.2621,4.16,4.49,26.71,47
store_1,item_33,1,Permintaan Tinggi,36.96,9.04,0.2447,10.14,10.14,26.81,47
store_1,item_34,1,Permintaan Tinggi,37.66,8.18,0.2171,13.1,13.1,24.56,44
store_1,item_35,0,Permintaan Rendah,24.9,6.29,0.2524,6.53,6.58,18.37,38
store_1,item_36,0,Permintaan Rendah,14.21,4.59,0.3232,-10.15,10.16,24.37,44
store_1,item_37,1,Permintaan Tinggi,32.26,8.11,0.2514,9.51,9.53,22.75,43
store_1,item_38,1,Permintaan Tinggi,33.97,8.01,0.236,9.57,9.6,24.4,44
store_1,item_39,1,Permintaan Tinggi,27.76,7.01,0.2524,4.11,4.56,23.66,44
store_1,item_4,0,Permintaan Rendah,18.98,5.64,0.2968,-1.32,2.87,20.3,40
store_1,item_40,1,Permintaan Tinggi,34.28,7.43,0.2167,7.53,7.53,26.75,47
store_1,item_41,0,Permintaan Rendah,25.66,6.66,0.2594,9.68,9.68,15.99,36
store_1,item_42,0,Permintaan Rendah,26.6,6.38,0.24,4.37,4.61,22.23,42
store_1,item_43,0,Permintaan Rendah,23.68,5.9,0.249,0.55,2.41,23.14,43
store_1,item_44,0,Permintaan Rendah,10.87,3.78,0.3482,-8.7,8.7,19.57,39
store_1,item_45,1,Permintaan Tinggi,28.59,6.8,0.2379,2.72,3.57,25.87,46
store_1,item_46,0,Permintaan Rendah,13.54,4.28,0.3158,-3.44,4.02,16.98,37
store_1,item_47,1,Permintaan Tinggi,38.95,9.49,0.2437,13.45,13.45,25.49,45
store_1,item_48,0,Permintaan Rendah,13.15,4.24,0.3222,-7.52,7.56,20.67,41
store_1,item_49,0,Permintaan Rendah,16.45,4.57,0.2777,-5.85,6.04,22.31,42
store_1,item_5,1,Permintaan Tinggi,36.26,8.23,0.227,12.74,12.74,23.52,43
store_1,item_50,0,Permintaan Rendah,11.78,4.29,0.3641,-14.91,14.91,26.69,47
store_1,item_6,0,Permintaan Rendah,21.18,5.86,0.2767,-2.07,2.93,23.25,43
store_1,item_7,0,Permintaan Rendah,19.06,5.19,0.2725,-5.01,5.2,24.07,44
store_1,item_8,1,Permintaan Tinggi,27.48,6.6,0.2401,-1.78,3.23,29.27,49
store_1,item_9,0,Permintaan Rendah,14.86,4.62,0.311,-8.74,8.75,23.6,43
store_10,item_1,1,Permintaan Tinggi,43.03,11.03,0.2563,18.35,18.35,24.67,45
store_10,item_10,1,Permintaan Tinggi,37.61,9.32,0.2479,13.13,13.13,24.48,44
store_10,item_11,0,Permintaan Rendah,13.62,4.46,0.3271,-9.82,9.82,23.45,43
store_10,item_12,1,Permintaan Tinggi,36.29,8.76,0.2414,14.8,14.8,21.49,41
store_10,item_13,1,Permintaan Tinggi,43.59,10.45,0.2397,19.17,19.17,24.42,44
store_10,item_14,1,Permintaan Tinggi,36.3,8.59,0.2367,11.45,11.45,24.86,45
store_10,item_15,0,Permintaan Rendah,18.07,5.21,0.2885,-4.83,5.01,22.9,43
store_10,item_16,0,Permintaan Rendah,11.31,4.01,0.355,-10.56,10.56,21.87,42
store_10,item_17,1,Permintaan Tinggi,37.55,8.47,0.2254,11.91,11.91,25.63,45
store_10,item_18,1,Permintaan Tinggi,34.56,9.61,0.2779,11.77,11.78,22.79,43
store_10,item_19,1,Permintaan Tinggi,35.61,8.96,0.2518,13.2,13.2,22.41,42
store_10,item_2,0,Permintaan Rendah,21.59,5.63,0.2609,1.61,2.84,19.99,40
store_10,item_20,1,Permintaan Tinggi,36.38,9.16,0.2519,13.53,13.53,22.85,43
store_10,item_21,0,Permintaan Rendah,13.21,4.31,0.3261,-7.81,7.83,21.02,41
store_10,item_22,0,Permintaan Rendah,22.97,5.85,0.2549,0.05,2.35,22.91,43
store_10,item_23,1,Permintaan Tinggi,42.42,10.49,0.2472,18.28,18.28,24.14,44
store_10,item_24,0,Permintaan Rendah,15.01,4.27,0.2842,-8.14,8.14,23.15,43
store_10,item_25,1,Permintaan Tinggi,39.46,9.76,0.2475,18.3,18.3,21.17,41
store_10,item_26,1,Permintaan Tinggi,31.48,7.9,0.251,7.25,7.28,24.24,44
store_10,item_27,0,Permintaan Rendah,21.72,5.49,0.2528,1.24,2.71,20.49,40
store_10,item_28,0,Permintaan Rendah,13.27,4.11,0.3099,-11.48,11.48,24.75,45
store_10,item_29,0,Permintaan Rendah,20.76,5.35,0.2576,-3.12,3.61,23.87,44
store_10,item_3,0,Permintaan Rendah,23.43,5.93,0.2531,0.66,2.47,22.78,43
store_10,item_30,0,Permintaan Rendah,21.45,5.36,0.2497,0.94,2.54,20.51,40
store_10,item_31,1,Permintaan Tinggi,35.08,8.77,0.2501,12.73,12.73,22.34,42
store_10,item_32,1,Permintaan Tinggi,32.04,7.41,0.2314,7.76,7.81,24.28,44
store_10,item_33,1,Permintaan Tinggi,40.64,10.62,0.2614,14.9,14.9,25.73,46
store_10,item_34,1,Permintaan Tinggi,41.15,10.23,0.2487,14.77,14.77,26.38,46
store_10,item_35,0,Permintaan Rendah,26.42,7.12,0.2696,3.28,3.75,23.15,43
store_10,item_36,0,Permintaan Rendah,14.52,4.45,0.3064,-4.8,5.08,19.32,39
store_10,item_37,1,Permintaan Tinggi,35.27,8.57,0.243,12.06,12.06,23.21,43
store_10,item_38,1,Permintaan Tinggi,36.13,9.02,0.2496,13.58,13.58,22.55,42
store_10,item_39,1,Permintaan Tinggi,29.49,7.09,0.2404,4.37,4.65,25.12,45
store_10,item_4,0,Permintaan Rendah,20.57,6.21,0.3017,-2.56,3.49,23.14,43
store_10,item_40,1,Permintaan Tinggi,35.76,8.43,0.2358,12.72,12.75,23.03,43
store_10,item_41,1,Permintaan Tinggi,27.53,6.46,0.2348,2.27,3.32,25.26,45
store_10,item_42,1,Permintaan Tinggi,28.88,7.83,0.2712,1.98,3.36,26.9,47
store_10,item_43,0,Permintaan Rendah,25.07,6.74,0.2688,1.91,3.05,23.16,43
store_10,item_44,0,Permintaan Rendah,11.64,4.03,0.3467,-11.47,11.47,23.11,43
store_10,item_45,1,Permintaan Tinggi,31.02,8.15,0.2629,11.02,11.02,20.0,40
store_10,item_46,0,Permintaan Rendah,14.64,4.43,0.303,-9.61,9.63,24.25,44
store_10,item_47,1,Permintaan Tinggi,41.5,10.05,0.2421,14.35,14.35,27.15,47
store_10,item_48,0,Permintaan Rendah,13.83,3.69,0.2666,-8.3,8.33,22.13,42
store_10,item_49,0,Permintaan Rendah,17.6,4.94,0.2808,-3.99,4.26,21.6,41
store_10,item_5,1,Permintaan Tinggi,38.45,8.98,0.2337,12.93,12.93,25.52,45
store_10,item_50,0,Permintaan Rendah,12.57,4.45,0.3538,-8.56,8.59,21.13,41
store_10,item_6,0,Permintaan Rendah,22.6,5.42,0.2399,-0.15,2.41,22.74,43
store_10,item_7,0,Permintaan Rendah,20.56,5.62,0.2733,-2.91,3.55,23.47,43
store_10,item_8,1,Permintaan Tinggi,28.82,7.19,0.2495,4.87,5.1,23.95,44
store_10,item_9,0,Permintaan Rendah,16.11,5.26,0.3261,-7.28,7.31,23.39,43
store_11,item_1,1,Permintaan Tinggi,42.22,10.01,0.237,14.25,14.25,27.97,48
store_11,item_10,1,Permintaan Tinggi,36.37,9.03,0.2484,10.73,10.73,25.64,45
store_11,item_11,0,Permintaan Rendah,13.48,4.41,0.3268,-7.75,7.76,21.23,41
store_11,item_12,1,Permintaan Tinggi,35.2,8.91,0.2532,9.22,9.22,25.99,46
store_11,item_13,1,Permintaan Tinggi,41.81,9.29,0.2222,15.63,15.63,26.18,46
store_11,item_14,1,Permintaan Tinggi,35.23,8.9,0.2525,18.97,18.97,16.26,36
store_11,item_15,0,Permintaan Rendah,16.89,4.57,0.2707,-7.01,7.06,23.9,44
store_11,item_16,0,Permintaan Rendah,10.79,4.07,0.3771,-9.23,9.26,20.02,40
store_11,item_17,1,Permintaan Tinggi,36.42,8.96,0.2461,12.56,12.56,23.87,44
store_11,item_18,1,Permintaan Tinggi,32.98,7.94,0.2408,11.4,11.4,21.58,41
store_11,item_19,1,Permintaan Tinggi,34.17,8.49,0.2486,9.85,9.85,24.32,44
store_11,item_2,0,Permintaan Rendah,20.91,6.11,0.292,0.29,2.55,20.62,40
store_11,item_20,1,Permintaan Tinggi,35.59,8.53,0.2396,12.08,12.08,23.51,43
store_11,item_21,0,Permintaan Rendah,13.21,4.04,0.3055,-7.83,7.87,21.04,41
store_11,item_22,0,Permintaan Rendah,22.79,5.98,0.2622,-0.09,2.47,22.88,43
store_11,item_23,1,Permintaan Tinggi,40.84,10.66,0.261,20.49,20.49,20.35,40
store_11,item_24,0,Permintaan Rendah,14.44,4.49,0.311,-4.28,4.72,18.72,39
store_11,item_25,1,Permintaan Tinggi,38.08,9.21,0.2417,20.74,20.74,17.34,37
store_11,item_26,1,Permintaan Tinggi,30.47,7.66,0.2514,4.23,4.51,26.24,46
store_11,item_27,0,Permintaan Rendah,21.27,5.28,0.2481,3.04,3.67,18.23,38
store_11,item_28,0,Permintaan Rendah,12.72,4.05,0.3188,-13.17,13.17,25.89,46
store_11,item_29,0,Permintaan Rendah,20.43,5.06,0.2475,-3.1,3.64,23.54,43
store_11,item_3,0,Permintaan Rendah,22.76,6.12,0.2688,-0.16,2.54,22.92,43
store_11,item_30,0,Permintaan Rendah,20.57,5.81,0.2823,-2.18,3.11,22.75,43
store_11,item_31,1,Permintaan Tinggi,34.18,8.8,0.2575,10.9,10.9,23.29,43
store_11,item_32,1,Permintaan Tinggi,30.91,8.76,0.2833,6.99,7.0,23.92,44
store_11,item_33,1,Permintaan Tinggi,38.52,8.81,0.2288,13.31,13.31,25.22,45
store_11,item_34,1,Permintaan Tinggi,38.73,10.08,0.2603,19.16,19.16,19.57,39
store_11,item_35,0,Permintaan Rendah,25.58,6.94,0.2713,8.37,8.46,17.21,37
store_11,item_36,0,Permintaan Rendah,14.62,4.41,0.3013,-8.63,8.63,23.25,43
store_11,item_37,1,Permintaan Tinggi,33.49,9.31,0.2779,11.78,11.78,21.71,42
store_11,item_38,1,Permintaan Tinggi,34.62,7.62,0.2201,11.99,11.99,22.62,42
store_11,item_39,0,Permintaan Rendah,27.92,6.67,0.2388,8.12,8.14,19.81,40
