date,actual_sales,predicted_sales
2023-07-01,65408,53471.90108824155
2023-07-02,67904,55685.87786672987
2023-07-03,80101,65957.86580933593
2023-07-04,92037,76054.38650982946
2023-07-05,94833,78976.21816743875
2023-07-06,86213,72475.16385522105
2023-07-07,71899,59780.524621386714
2023-07-08,62845,53445.23817974243
2023-07-09,65884,55690.13292250057
2023-07-10,77720,66275.63603230761
2023-07-11,89481,76379.3453030559
2023-07-12,91578,78712.88476632365
2023-07-13,83240,72643.14103306651
2023-07-14,69485,60237.806471136515
2023-07-15,60390,53487.62739553743
2023-07-16,63375,55764.80841972834
2023-07-17,74805,65968.40502413917
2023-07-18,85880,76330.79029971268
2023-07-19,88398,79122.00292362066
2023-07-20,80220,72727.68633803485
2023-07-21,66887,60136.24984917814
2023-07-22,58218,53357.20125432241
2023-07-23,61009,55777.31438393371
2023-07-24,71963,66161.57923365795
2023-07-25,82596,76446.95930435431
2023-07-26,85303,78974.34160220064
2023-07-27,76854,72401.23034094166
2023-07-28,64774,60242.44092065373
2023-07-29,56429,53532.97154502494
2023-07-30,58818,55781.47573087763
2023-07-31,69154,66148.14069597046
2023-08-01,80300,66108.84478893867
2023-08-02,82385,67743.33905745133
2023-08-03,74205,61640.84935184365
2023-08-04,62227,51872.751857064475
2023-08-05,54749,45637.663533365456
2023-08-06,57033,48047.92950890565
2023-08-07,67155,57222.558118055815
2023-08-08,76820,65958.59538674241
2023-08-09,79259,67632.83456413499
2023-08-10,72297,62061.447555660445
2023-08-11,59509,51651.20020538413
2023-08-12,52848,45976.22165222305
2023-08-13,54942,47838.96566949356
2023-08-14,64867,57175.434056011436
2023-08-15,74466,65936.91302508554
2023-08-16,76517,67448.04918589295
2023-08-17,69663,61923.64357476248
2023-08-18,58103,51787.3719384304
2023-08-19,50953,45670.24349234874
2023-08-20,53437,47912.11141018478
2023-08-21,63128,57320.55368769487
2023-08-22,72277,65888.25973056577
2023-08-23,74549,67569.55642319638
2023-08-24,67783,62018.15926122095
2023-08-25,56109,51702.52751547242
2023-08-26,49744,45780.162714827486
2023-08-27,51368,47837.395426150906
2023-08-28,60964,57035.946973366714
2023-08-29,70293,65751.62898571497
2023-08-30,72704,67715.4646780057
2023-08-31,65472,61567.637996018464
2023-09-01,55355,47451.888510872006
2023-09-02,48676,42009.43048301633
2023-09-03,50453,43846.191012295385
2023-09-04,59489,51635.352167061
2023-09-05,69097,59868.50100751374
2023-09-06,71022,61791.10419142626
2023-09-07,64510,55984.04063821193
2023-09-08,54279,47527.16347611301
2023-09-09,47367,41888.44371352516
2023-09-10,49605,43719.98081935762
2023-09-11,58281,51884.72812534856
2023-09-12,67666,59570.91810817193
2023-09-13,69284,61291.18958116386
2023-09-14,63618,56100.47146099452
2023-09-15,53122,47343.605060966984
2023-09-16,46796,41969.052957168606
2023-09-17,48908,43773.91528773792
2023-09-18,57662,52009.11119248171
2023-09-19,66859,59814.23384661278
2023-09-20,69440,61880.246853786935
2023-09-21,63098,56054.73712741732
2023-09-22,52893,47503.938859301845
2023-09-23,46212,42000.370018827816
2023-09-24,48651,43816.16593859917
2023-09-25,57448,51845.08572999734
2023-09-26,66348,59566.80675850121
2023-09-27,68782,61767.74847118312
2023-09-28,62832,55953.174656700496
2023-09-29,52324,47354.97664623902
2023-09-30,46080,41957.379036572915
2023-10-01,48474,43943.51889030416
2023-10-02,57069,52102.21658469191
2023-10-03,66370,59711.043359492825
2023-10-04,68986,61741.62750886455
2023-10-05,62098,55784.30998821866
2023-10-06,52190,47222.34399114966
2023-10-07,46147,41772.11243158744
2023-10-08,48536,43932.73218798791
2023-10-09,57319,51857.78427419593
2023-10-10,66324,59501.406297562724
2023-10-11,69457,61926.88252649345
2023-10-12,62608,55719.19869745236
2023-10-13,52586,47255.31989342236
2023-10-14,46776,42086.95527300898
2023-10-15,49308,44026.488265503096
2023-10-16,58692,52378.15168130714
2023-10-17,67986,60013.460432624735
2023-10-18,70057,61472.83470785374
2023-10-19,63408,55880.03731192645
2023-10-20,54109,47515.83723552921
2023-10-21,47505,42220.133000085334
2023-10-22,50069,43980.580203217345
2023-10-23,59064,52014.36596587728
2023-10-24,69133,59994.69623799163
2023-10-25,71053,61384.393695472994
2023-10-26,64727,55859.508998597215
2023-10-27,54446,47329.98939559468
2023-10-28,48470,42120.22880966792
2023-10-29,51097,43929.17381686172
